wikiStats|ga

redirects|192
p|AirdeIsÍsle_tr|2
p|Taoiseach|8
p|Suaitheantas4|7
p|AirdeIsAirde|8
p|Ainm|8
p|imeacht_bunaithe2|8
p|Leasainm|8
p|imeacht_bunaithe3|7
p|SuíocháinSaSeanad|8
p|Suaitheantas1|8
p|CódISO|8
p|ÁitIsAirde|8
p|TeidealSuaitheantais5|6
p|dáta_imeachta5|2
p|Suaitheantas3|8
p|TeidealSuaitheantais1|8
p|Ainm_gin_bain|8
p|Ainm_gin_fir|8
p|Bratach|8
p|AcharIomlán|8
p|imeacht_bunaithe1|8
p|imeacht_bunaithe6|1
p|Stádas|8
p|Suaitheantas2|8
p|dáta_imeachta1|8

template|Teimpléad:Bosca Sonraí Páirtí Polaitíochta
count|43
properties|16
p|ainm|43
p|suíocháin5|0
p|suíocháin1|0
p|cleamhnas|24
p|idéeolaíocht|38
p|suíocháin6|0
p|ceannasaíocht|41
p|suíocháin4|0
p|lógó|20
p|gréasáin|41
p|suíocháin7|0
p|dathanna|37
p|ceanncheathrú|36
p|suíocháin3|0
